"","ADM_RATE","ACTCMMID","UGDS","TUITIONFEE_IN","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","PFTFTUG1_EF","AGE_ENTRY","yvals","names"
"29639",0.4108,19,1708,9816,8974,5747,4984,0.5766,0.2362,28.497418244,0.3636,"Lourdes University"
"29640",0.8098,22,1854,16790,10076,5648,5248,0.4545,0.6209,25.085158151,0.569,"Malone University"
"29641",0.6811,23,380,9225,5225,3862,5286,1,0.9709,25.598853868,0.7,"MedCentral College of Nursing"
"29642",0.7814,23,1349,22656,12584,9628,5520,0.6621,0.8269,20.022538553,0.5596,"Marietta College"
"29650",0.6947,27,14890,21487,8997,6799,7174,0.7954,0.9178,21.224212994,0.8035,"Miami University-Oxford"
"29655",0.5954,19,589,7024,11968,6019,5401,0.6034,0.5323,23.984756098,0.625,"Mount Carmel College of Nursing"
"29656",0.7998,23,2030,19850,10554,7472,6022,0.5885,0.8982,19.843212237,0.6106,"University of Mount Union"
"29657",0.803,23,2124,15886,11132,5801,5143,0.9099,0.5663,25.891748675,0.4911,"Mount Vernon Nazarene University"
"29658",0.7295,21,1889,18790,11961,5902,5202,0.5822,0.5572,23.358299595,0.6823,"Mount Saint Joseph University"
"29660",0.7936,22,1634,16175,8045,6203,5671,0.705,0.9251,20.943037975,0.6388,"Muskingum University"
"29668",0.5346,19,746,19220,8442,3559,4247,1,0.5962,26.938331318,0.4595,"Notre Dame College"
"29671",0.3393,30,2845,32724,18620,21697,8151,0.8361,0.9703,19.39675174,0.825,"Oberlin College"
"29675",0.7224,22,2185,19454,8976,3268,5418,1,0.7154,25.283964365,0.4946,"Ohio Dominican University"
"29677",0.924,26,2542,27045,14005,10188,6678,1,0.911,20.026548673,0.6694,"Ohio Northern University"
"29688",0.7347,26,36029,8082,8763,10975,9011,0.7726,0.7499,21.32356646,0.6822,"Ohio State University-Main Campus"
"29693",0.8916,23,17046,8235,8076,7103,6841,0.7321,0.994,22.08531746,0.7088,"Ohio University-Main Campus"
"29697",0.7467,27,1958,27920,15245,10768,6365,1,0.9443,19.541507024,0.6807,"Ohio Wesleyan University"
"29698",0.7636,24,2568,22518,37612,23697,5989,0.4948,0.9843,21.342553191,0.6324,"Otterbein University"
"29727",0.7927,25,1902,16450,9842,5088,5216,1,0.6667,20.846837945,0.746,"Franciscan University of Steubenville"
"29732",0.7204,20,1177,15000,11304,5052,4690,1,0.5606,24.491820041,0.314,"Tiffin University"
"29743",0.6597,20,1375,15050,7746,4066,4093,1,0.5429,23.886395512,0.4793,"Urbana University"
"29744",0.6507,21,1118,19090,13678,7492,5106,0.4076,0.4585,26.575886525,0.4667,"Ursuline College"
"29748",0.8024,22,1814,16540,9728,4823,5116,0.9881,0.8309,22.477547496,0.5625,"Walsh University"
"29751",0.2211,16,1157,10780,6467,4646,4385,0.5195,0.8685,26.462132921,0.2903,"Wilberforce University"
"29752",0.9542,22,1723,19206,7865,4098,4920,0.9467,0.7093,22.573751452,0.5182,"Wilmington College"
"29754",0.8476,24,1983,27542,12048,10364,6181,0.7327,0.9306,20.265968586,0.6496,"Wittenberg University"
"29755",0.7474,26,1810,28230,16690,12341,6296,0.9638,0.9605,19.384370016,0.7544,"The College of Wooster"
"29758",0.6592,26,3737,21850,11456,7106,6474,0.4892,0.7782,21.844370861,0.7938,"Xavier University"
"29762",0.5,18,794,8820,1820,3443,3766,0.3824,0.4852,25.249658936,0.1353,"Bacone College"
"29770",0.95,21,13936,3618,2577,3482,6007,0.5276,0.8471,23.284556962,0.3477,"University of Central Oklahoma"
"29773",0.9838,21,3775,3256,2382,4081,5425,0.642,0.5865,24.709805874,0.3483,"East Central University"
"29778",0.8814,18,260,8550,5427,2905,3166,0.3514,0.5921,22.440993789,0.2632,"Hillsdale Free Will Baptist College"
"29782",0.984,19,1010,12000,15088,7981,2794,0.9391,0.6654,22.736947791,0.384,"Spartan College of Aeronautics and Technology"
"29783",0.759,21,8488,3270,2563,3615,5268,0.7112,0.9567,24.838871885,0.315,"Northeastern State University"
"29787",0.9981,21,1841,3379,1786,4108,4926,1,0.9582,24.569767442,0.3097,"Northwestern Oklahoma State University"
"29792",0.5099,25,19001,4365,4413,5915,6373,0.8958,0.952,21.864880113,0.5925,"Oklahoma State University-Main Campus"
"29794",0.7476,19,1649,12924,8333,6536,3884,0.8529,0.8088,20.803814714,0.5353,"Oklahoma Baptist University"
"29796",0.8084,25,1959,18000,9746,6050,5913,0.5494,0.9231,24.345434543,0.5043,"Oklahoma City University"
"29797",0.8568,26,20094,5008,5236,6200,7340,0.8024,0.9257,22.482576407,0.5621,"University of Oklahoma-Norman Campus"
"29800",0.6727,23,3349,15880,7348,3870,4590,0.7046,0.5659,22.058441558,0.5399,"Oral Roberts University"
"29806",0.7952,19,812,11800,7992,2291,3430,1,0.8155,29.27972028,0.3234,"St. Gregory's University"
"29808",0.8862,22,1281,2784,1842,3835,4567,0.593,0.9435,22.916083916,0.3668,"University of Science and Arts of Oklahoma"
"29812",0.744,21,3573,3040,2971,4837,5303,0.6081,0.9622,24.335881753,0.2885,"Southeastern Oklahoma State University"
"29813",0.871,18,203,8250,6231,3460,4744,0.2917,0.6528,24.735099338,0.5217,"Southwestern Christian University"
"29814",0.9476,21,4328,3456,2295,3823,5123,1,0.7206,22.942131557,0.3659,"Southwestern Oklahoma State University"
"29817",0.7507,27,2749,19235,13062,13056,7638,0.7251,0.7631,21.394093686,0.6073,"University of Tulsa"
"29835",0.6617,21,926,18900,10061,4261,4056,0.3066,0.443,25.309486781,0.4646,"Concordia University-Portland"
"29838",0.7455,21,2956,5652,4864,4924,4952,0.8407,0.329,26.664335664,0.2992,"Eastern Oregon University"
